Year,WHO,total_speeches,health_speeches,climate_speeches,intersection_speeches,percent_int,percent_CC,percent_PH
2011,Europe,55,27,36,10,18.181818181818183,65.45454545454545,49.09090909090909
2011,Latin America and the Caribbean,33,25,30,9,27.27272727272727,90.9090909090909,75.75757575757575
2011,North America,2,2,1,1,50,50,100
2011,South-East Asia,11,5,7,0,0,63.63636363636363,45.45454545454545
2011,Western Pacific,25,19,22,8,32,88,76
2012,Africa,46,27,22,6,13.043478260869565,47.82608695652174,58.69565217391305
2012,Eastern Mediterranean,22,11,6,1,4.545454545454546,27.27272727272727,50
2012,Europe,55,17,27,2,3.6363636363636362,49.09090909090909,30.909090909090907
2012,Latin America and the Caribbean,33,24,24,6,18.181818181818183,72.72727272727273,72.72727272727273
2012,North America,2,1,0,0,0,0,50
2012,South-East Asia,11,5,8,1,9.090909090909092,72.72727272727273,45.45454545454545
2012,Western Pacific,25,13,21,2,8,84,52
2013,Africa,46,37,19,7,15.217391304347828,41.30434782608695,80.43478260869566
2013,Eastern Mediterranean,20,10,7,1,5,35,50
2013,Europe,55,26,23,3,5.454545454545454,41.81818181818181,47.27272727272727
2013,Latin America and the Caribbean,33,28,22,5,15.151515151515152,66.66666666666666,84.84848484848484
2013,North America,2,2,1,0,0,50,100
2013,South-East Asia,11,6,7,0,0,63.63636363636363,54.54545454545454
2013,Western Pacific,25,18,20,4,16,80,72
2014,Africa,47,42,32,9,19.148936170212767,68.08510638297872,89.36170212765957
2014,Eastern Mediterranean,20,11,7,1,5,35,55.00000000000001
2014,Europe,55,32,34,9,16.363636363636363,61.81818181818181,58.18181818181818
2014,Latin America and the Caribbean,33,29,26,8,24.242424242424242,78.78787878787878,87.87878787878788
2014,North America,2,2,2,0,0,100,100
2014,South-East Asia,11,9,11,4,36.36363636363637,100,81.81818181818183
2014,Western Pacific,25,22,22,15,60,88,88
2015,Africa,46,34,36,9,19.565217391304348,78.26086956521739,73.91304347826086
2015,Eastern Mediterranean,22,7,7,1,4.545454545454546,31.818181818181817,31.818181818181817
2015,Europe,54,22,43,5,9.25925925925926,79.62962962962963,40.74074074074074
2015,Latin America and the Caribbean,33,20,27,5,15.151515151515152,81.81818181818183,60.60606060606061
2015,North America,2,2,2,0,0,100,100
2015,South-East Asia,11,7,9,2,18.181818181818183,81.81818181818183,63.63636363636363
2015,Western Pacific,24,18,22,7,29.166666666666668,91.66666666666666,75
2016,Africa,47,26,41,7,14.893617021276595,87.2340425531915,55.319148936170215
2016,Eastern Mediterranean,21,8,9,0,0,42.857142857142854,38.095238095238095
2016,Europe,55,22,42,6,10.909090909090908,76.36363636363637,40
2016,Latin America and the Caribbean,33,24,29,7,21.21212121212121,87.87878787878788,72.72727272727273
2016,North America,2,2,2,0,0,100,100
2016,South-East Asia,11,7,9,1,9.090909090909092,81.81818181818183,63.63636363636363
2016,Western Pacific,24,19,23,9,37.5,95.83333333333334,79.16666666666666
2017,Africa,47,23,42,7,14.893617021276595,89.36170212765957,48.93617021276596
2017,Eastern Mediterranean,22,10,11,2,9.090909090909092,50,45.45454545454545
2017,Europe,55,24,39,3,5.454545454545454,70.9090909090909,43.63636363636363
2017,Latin America and the Caribbean,33,22,32,2,6.0606060606060606,96.96969696969697,66.66666666666666
2017,North America,2,2,1,0,0,50,100
2017,South-East Asia,11,7,10,2,18.181818181818183,90.9090909090909,63.63636363636363
2017,Western Pacific,25,16,22,8,32,88,64
2018,Africa,47,23,33,7,14.893617021276595,70.2127659574468,48.93617021276596
2018,Eastern Mediterranean,22,7,5,2,9.090909090909092,22.727272727272727,31.818181818181817
2018,Europe,55,29,46,11,20,83.63636363636363,52.72727272727272
2018,Latin America and the Caribbean,33,26,29,9,27.27272727272727,87.87878787878788,78.78787878787878
2018,North America,2,0,1,0,0,50,0
2018,South-East Asia,11,5,9,1,9.090909090909092,81.81818181818183,45.45454545454545
2018,Western Pacific,25,17,23,7,28.000000000000004,92,68
2019,Africa,47,30,46,11,23.404255319148938,97.87234042553192,63.829787234042556
2019,Eastern Mediterranean,22,5,12,1,4.545454545454546,54.54545454545454,22.727272727272727
2019,Europe,54,28,49,9,16.666666666666664,90.74074074074075,51.85185185185185
2019,Latin America and the Caribbean,33,24,29,4,12.121212121212121,87.87878787878788,72.72727272727273
2019,North America,2,1,1,1,50,50,50
2019,South-East Asia,11,7,9,2,18.181818181818183,81.81818181818183,63.63636363636363
2019,Western Pacific,25,22,24,11,44,96,88
