Year,WHO,total_speeches,health_speeches,climate_speeches,intersection_speeches,percent_int,percent_CC,percent_PH
1975,Latin America and the Caribbean,23,10,0,0,0,0,43.47826086956522
1975,North America,2,1,0,0,0,0,50
1975,South-East Asia,8,1,0,0,0,0,12.5
1975,Western Pacific,11,3,0,0,0,0,27.27272727272727
1976,Africa,36,17,0,0,0,0,47.22222222222222
1976,Eastern Mediterranean,20,5,0,0,0,0,25
1976,Europe,29,3,0,0,0,0,10.344827586206897
1976,Latin America and the Caribbean,24,7,0,0,0,0,29.166666666666668
1976,North America,2,1,0,0,0,0,50
1976,South-East Asia,8,2,0,0,0,0,25
1976,Western Pacific,12,2,0,0,0,0,16.666666666666664
1977,Africa,40,18,0,0,0,0,45
1977,Eastern Mediterranean,20,10,0,0,0,0,50
1977,Europe,29,6,1,0,0,3.4482758620689653,20.689655172413794
1977,Latin America and the Caribbean,24,14,0,0,0,0,58.333333333333336
1977,North America,2,1,0,0,0,0,50
1977,South-East Asia,9,6,0,0,0,0,66.66666666666666
1977,Western Pacific,13,3,1,0,0,7.6923076923076925,23.076923076923077
1978,Africa,39,17,0,0,0,0,43.58974358974359
1978,Eastern Mediterranean,19,5,0,0,0,0,26.31578947368421
1978,Europe,30,9,2,0,0,6.666666666666667,30
1978,Latin America and the Caribbean,25,12,0,0,0,0,48
1978,North America,2,2,1,0,0,50,100
1978,South-East Asia,9,1,0,0,0,0,11.11111111111111
1978,Western Pacific,14,4,1,0,0,7.142857142857142,28.57142857142857
1979,Africa,39,22,0,0,0,0,56.41025641025641
1979,Eastern Mediterranean,21,6,0,0,0,0,28.57142857142857
1979,Europe,29,6,0,0,0,0,20.689655172413794
1979,Latin America and the Caribbean,27,13,1,0,0,3.7037037037037033,48.148148148148145
1979,North America,2,2,1,0,0,50,100
1979,South-East Asia,9,4,0,0,0,0,44.44444444444444
1979,Western Pacific,14,5,0,0,0,0,35.714285714285715
1980,Africa,43,26,1,0,0,2.3255813953488373,60.46511627906976
1980,Eastern Mediterranean,20,8,0,0,0,0,40
1980,Europe,30,9,0,0,0,0,30
1980,Latin America and the Caribbean,29,12,2,0,0,6.896551724137931,41.37931034482759
1980,North America,2,1,0,0,0,0,50
1980,South-East Asia,9,4,0,0,0,0,44.44444444444444
1980,Western Pacific,13,3,0,0,0,0,23.076923076923077
1981,Africa,39,19,0,0,0,0,48.717948717948715
1981,Eastern Mediterranean,21,6,0,0,0,0,28.57142857142857
1981,Europe,29,11,0,0,0,0,37.93103448275862
1981,Latin America and the Caribbean,29,9,1,0,0,3.4482758620689653,31.03448275862069
1981,North America,2,2,0,0,0,0,100
1981,South-East Asia,8,2,0,0,0,0,25
1981,Western Pacific,14,4,0,0,0,0,28.57142857142857
1982,Africa,39,14,2,0,0,5.128205128205128,35.8974358974359
1982,Eastern Mediterranean,20,5,0,0,0,0,25
1982,Europe,30,10,0,0,0,0,33.33333333333333
1982,Latin America and the Caribbean,31,14,0,0,0,0,45.16129032258064
1982,North America,2,1,0,0,0,0,50
1982,South-East Asia,9,2,0,0,0,0,22.22222222222222
1982,Western Pacific,13,2,0,0,0,0,15.384615384615385
1983,Africa,39,17,0,0,0,0,43.58974358974359
1983,Eastern Mediterranean,21,5,0,0,0,0,23.809523809523807
1983,Europe,30,5,0,0,0,0,16.666666666666664
1983,Latin America and the Caribbean,29,14,1,0,0,3.4482758620689653,48.275862068965516
1983,North America,2,0,0,0,0,0,0
1983,South-East Asia,9,0,0,0,0,0,0
1983,Western Pacific,16,5,0,0,0,0,31.25
1984,Africa,40,20,0,0,0,0,50
1984,Eastern Mediterranean,21,7,0,0,0,0,33.33333333333333
1984,Europe,30,7,0,0,0,0,23.333333333333332
1984,Latin America and the Caribbean,30,14,0,0,0,0,46.666666666666664
1984,North America,2,2,0,0,0,0,100
1984,South-East Asia,9,6,0,0,0,0,66.66666666666666
1984,Western Pacific,15,5,0,0,0,0,33.33333333333333
1985,Africa,32,22,0,0,0,0,68.75
1985,Eastern Mediterranean,20,8,0,0,0,0,40
1985,Europe,30,16,0,0,0,0,53.333333333333336
1985,Latin America and the Caribbean,27,18,0,0,0,0,66.66666666666666
1985,North America,2,2,0,0,0,0,100
1985,South-East Asia,7,3,0,0,0,0,42.857142857142854
1985,Western Pacific,16,8,0,0,0,0,50
1986,Africa,37,22,0,0,0,0,59.45945945945946
1986,Eastern Mediterranean,21,8,0,0,0,0,38.095238095238095
1986,Europe,30,11,0,0,0,0,36.666666666666664
1986,Latin America and the Caribbean,30,11,0,0,0,0,36.666666666666664
1986,North America,2,1,0,0,0,0,50
1986,South-East Asia,9,3,0,0,0,0,33.33333333333333
1986,Western Pacific,17,7,0,0,0,0,41.17647058823529
1987,Africa,39,19,0,0,0,0,48.717948717948715
1987,Eastern Mediterranean,21,8,0,0,0,0,38.095238095238095
1987,Europe,30,10,0,0,0,0,33.33333333333333
1987,Latin America and the Caribbean,31,16,0,0,0,0,51.61290322580645
1987,North America,2,2,0,0,0,0,100
1987,South-East Asia,9,3,0,0,0,0,33.33333333333333
1987,Western Pacific,17,7,1,0,0,5.88235294117647,41.17647058823529
1988,Africa,41,18,1,0,0,2.4390243902439024,43.90243902439025
1988,Eastern Mediterranean,21,5,0,0,0,0,23.809523809523807
1988,Europe,30,12,6,1,3.3333333333333335,20,40
1988,Latin America and the Caribbean,31,14,3,0,0,9.67741935483871,45.16129032258064
1988,North America,2,2,1,0,0,50,100
1988,South-East Asia,9,5,4,0,0,44.44444444444444,55.55555555555556
1988,Western Pacific,17,6,1,0,0,5.88235294117647,35.294117647058826
1989,Africa,41,21,4,0,0,9.75609756097561,51.21951219512195
1989,Eastern Mediterranean,20,8,1,1,5,5,40
1989,Europe,30,12,12,1,3.3333333333333335,40,40
1989,Latin America and the Caribbean,33,18,8,0,0,24.242424242424242,54.54545454545454
1989,North America,2,2,2,0,0,100,100
1989,South-East Asia,8,3,3,0,0,37.5,37.5
1989,Western Pacific,16,5,4,1,6.25,25,31.25
1990,Africa,42,25,2,0,0,4.761904761904762,59.523809523809526
1990,Eastern Mediterranean,21,10,1,0,0,4.761904761904762,47.61904761904761
1990,Europe,31,11,8,1,3.225806451612903,25.806451612903224,35.483870967741936
1990,Latin America and the Caribbean,33,19,4,0,0,12.121212121212121,57.57575757575758
1990,North America,2,1,0,0,0,0,50
1990,South-East Asia,9,3,2,0,0,22.22222222222222,33.33333333333333
1990,Western Pacific,16,2,5,0,0,31.25,12.5
1991,Africa,42,20,4,0,0,9.523809523809524,47.61904761904761
1991,Eastern Mediterranean,20,8,0,0,0,0,40
1991,Europe,34,8,8,0,0,23.52941176470588,23.52941176470588
1991,Latin America and the Caribbean,33,15,6,0,0,18.181818181818183,45.45454545454545
1991,North America,2,1,1,1,50,50,50
1991,South-East Asia,10,4,2,1,10,20,40
1991,Western Pacific,20,4,9,0,0,45,20
1992,Africa,42,21,6,0,0,14.285714285714285,50
1992,Eastern Mediterranean,20,8,1,0,0,5,40
1992,Europe,45,10,3,0,0,6.666666666666667,22.22222222222222
1992,Latin America and the Caribbean,30,19,6,0,0,20,63.33333333333333
1992,North America,2,1,1,0,0,50,50
1992,South-East Asia,9,5,3,0,0,33.33333333333333,55.55555555555556
1992,Western Pacific,18,5,8,0,0,44.44444444444444,27.77777777777778
1993,Africa,42,21,2,0,0,4.761904761904762,50
1993,Eastern Mediterranean,20,8,1,0,0,5,40
1993,Europe,49,14,4,0,0,8.16326530612245,28.57142857142857
1993,Latin America and the Caribbean,33,16,3,1,3.0303030303030303,9.090909090909092,48.484848484848484
1993,North America,2,2,0,0,0,0,100
1993,South-East Asia,10,8,0,0,0,0,80
1993,Western Pacific,19,4,8,0,0,42.10526315789473,21.052631578947366
1994,Africa,45,22,3,0,0,6.666666666666667,48.888888888888886
1994,Eastern Mediterranean,20,9,0,0,0,0,45
1994,Europe,50,13,0,0,0,0,26
1994,Latin America and the Caribbean,33,20,4,0,0,12.121212121212121,60.60606060606061
1994,North America,2,2,0,0,0,0,100
1994,South-East Asia,10,8,1,0,0,10,80
1994,Western Pacific,18,7,3,0,0,16.666666666666664,38.88888888888889
1995,Africa,40,23,2,0,0,5,57.49999999999999
1995,Eastern Mediterranean,19,6,1,0,0,5.263157894736842,31.57894736842105
1995,Europe,50,15,3,1,2,6,30
1995,Latin America and the Caribbean,32,20,6,1,3.125,18.75,62.5
1995,North America,2,1,1,0,0,50,50
1995,South-East Asia,10,7,0,0,0,0,70
1995,Western Pacific,19,14,7,2,10.526315789473683,36.84210526315789,73.68421052631578
1996,Africa,44,30,3,0,0,6.8181818181818175,68.18181818181817
